Codigo municipio,Municipio,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,provincia,promedio,total_Suma_ano,pueblociudad,p33,p66,consumoProvincia,dif1502
1901,Iruña Oka/Iruña de Oca,12371.37,11951.75,12011.74,11954.94,12034.63,11832.67,10699.48,13654.76,14889.3,15029.23,14357.8,14740.99,15186.37,15482.67,Álava,13299.835714285713,186197.69999999998,Pueblo,4090.7342857142858,10106.95,Alto,-3111.2999999999993
1002,Amurrio,34853.06,37074.09,30982.99,35669.11,35928.46,31691.73,24015.06,42183.94,40610.01,41131.61,39232.63,43639.7,39892.31,37963.07,Álava,36776.26928571429,514867.77,Pueblo,4090.7342857142858,10106.95,Alto,-3110.010000000002
48081,Lezama,4019.9,4399.67,4428.87,4368.91,4971.8,4755.78,5069.65,6752.8,6866.73,7020.51,7149.92,7685.63,6695.74,7089.46,Bizkaia,5805.383571428572,81275.37000000001,Pueblo,3108.363542857143,6738.3684357142865,Medio,-3069.56
1053,San Millán/Donemiliaga,9798.06,9906.85,8720.56,8661.31,11352.69,8471.01,9528.42,11384.1,16302.79,15040.42,10832.18,9496.79,12088.37,12749.64,Álava,11023.799285714285,154333.19,Pueblo,4090.7342857142858,10106.95,Alto,-2951.58
1004,Artziniega,4833.98,4819.31,5072.18,5394.72,5519.19,5655.8,5531.17,6617.42,6705.75,6954.01,7208.62,7791.74,7930.54,7760.0,Álava,6271.030714285714,87794.43,Pueblo,4090.7342857142858,10106.95,Medio,-2926.0200000000004
1006,Armiñón,12254.72,11627.59,9584.91,10399.56,11063.21,11221.45,9736.23,18389.87,33333.06,32029.19,19589.81,20001.04,17599.36,15127.3,Álava,16568.37857142857,231957.3,Pueblo,4090.7342857142858,10106.95,Alto,-2872.58
48005,Arakaldo,2528.04,3776.88,5492.16,6209.93,6814.61,8135.01,9924.32,10771.45,9613.96,7428.94,6186.52,6208.76,5454.97,5313.89,Bizkaia,6704.245714285715,93859.44,Pueblo,3108.363542857143,6738.3684357142865,Medio,-2785.8500000000004
20031,Elduain,10680.43,10439.82,11156.67,12090.4,12648.48,12418.74,12820.63,14799.19,14603.87,14101.92,14053.36,13492.57,14651.51,13323.57,Gipuzkoa,12948.654285714289,181281.16000000003,Pueblo,4173.691992857142,9100.15910714286,Alto,-2643.1399999999994
20053,Lezo,5707.27,5640.4,5780.49,6039.45,5995.38,6557.74,6477.36,7140.84,7307.75,6977.63,7317.92,6798.94,7705.85,8152.97,Gipuzkoa,6685.713571428573,93599.99000000002,Pueblo,4173.691992857142,9100.15910714286,Medio,-2445.7
48090,Balmaseda,7809.94,8369.39,8492.55,8995.19,8820.92,9096.21,8829.87,11038.31,10458.66,10467.06,9633.64,9978.6,8903.91,10225.3,Bizkaia,9365.682142857144,131119.55000000002,Pueblo,3108.363542857143,6738.3684357142865,Alto,-2415.3599999999997
48032,Elorrio,17417.47,17062.22,16884.75,18058.89,18481.17,18124.57,15146.63,25105.59,24845.94,23802.02,23325.21,22405.54,20028.79,19828.53,Bizkaia,20036.95142857143,280517.32,Pueblo,3108.363542857143,6738.3684357142865,Alto,-2411.0599999999977
20903,Astigarraga,5047.67,4745.28,4865.0,5631.53,5920.74,6243.7,6543.01,6738.65,6741.64,7091.37,7017.12,7093.6,7250.76,7300.63,Gipuzkoa,6302.192857142858,88230.70000000001,Pueblo,4173.691992857142,9100.15910714286,Medio,-2252.96
48915,Ziortza-Bolibar,2088.98,1967.21,2155.81,2258.48,1611.92,1765.8,1795.82,1758.68,1259.54,1315.58,2668.96,4714.38,4608.56,4248.04,Bizkaia,2444.1257142857144,34217.76,Pueblo,3108.363542857143,6738.3684357142865,Bajo,-2159.06
20071,Tolosa,1773.9,1667.35,1762.54,1778.96,1917.83,1928.24,3303.24,5414.36,3649.84,4062.46,4621.46,4476.38,3997.39,3876.97,Gipuzkoa,3159.3514285714286,44230.92,Pueblo,4173.691992857142,9100.15910714286,Bajo,-2103.0699999999997
1010,Ayala/Aiara,5589.6,5680.59,5913.09,6275.4,5933.83,5778.39,6006.18,7376.21,7340.46,6982.22,6423.41,6954.0,7211.6,7688.3,Álava,6510.948571428572,91153.28000000001,Pueblo,4090.7342857142858,10106.95,Medio,-2098.7
1021,Elburgo/Burgelu,2935.27,2893.53,2859.31,3592.02,4095.32,4288.39,4715.05,4154.42,4257.3,4629.79,4661.37,4953.54,4535.15,5002.74,Álava,4112.371428571429,57573.200000000004,Pueblo,4090.7342857142858,10106.95,Medio,-2067.47
20016,Aia,6830.56,7063.86,7381.57,7450.48,7597.1,7508.26,7420.62,9284.1,10350.79,10289.29,10580.32,10380.22,9616.06,8897.38,Gipuzkoa,8617.900714285715,120650.61000000002,Pueblo,4173.691992857142,9100.15910714286,Medio,-2066.819999999999
20047,Itsasondo,4251.79,4256.92,4375.37,4483.16,5095.96,4535.03,4863.44,5903.28,5433.31,4833.34,5660.78,6216.5,5757.56,6258.63,Gipuzkoa,5137.504999999999,71925.06999999999,Pueblo,4173.691992857142,9100.15910714286,Medio,-2006.8400000000001
48046,Gernika-Lumo,3168.26,3097.7,3134.28,3216.53,3237.45,3389.8,3424.65,3973.3,5451.39,5291.7,5358.01,5386.08,5186.05,5078.33,Bizkaia,4170.966428571429,58393.530000000006,Pueblo,3108.363542857143,6738.3684357142865,Medio,-1910.0699999999997
1003,Aramaio,1592.5,1607.83,1668.04,1448.28,1570.5,1462.92,2423.78,3701.04,3832.42,3547.12,3740.3,4074.74,3564.48,3471.46,Álava,2693.243571428571,37705.409999999996,Pueblo,4090.7342857142858,10106.95,Bajo,-1878.96
20011,Antzuola,7725.96,7855.34,8857.21,9841.92,8916.69,8356.85,7388.65,8921.58,8942.02,8783.12,8949.72,9472.43,9439.39,9485.39,Gipuzkoa,8781.162142857142,122936.26999999999,Pueblo,4173.691992857142,9100.15910714286,Medio,-1759.4299999999994
